iter	Passed	Remaining
0	0	49
1	0	43
2	1	40
3	1	38
4	1	36
5	2	36
6	2	35
7	3	34
8	3	34
9	3	32
10	3	31
11	4	32
12	4	31
13	5	31
14	5	30
15	5	30
16	6	30
17	6	29
18	6	28
19	7	28
20	7	27
21	7	27
22	7	26
23	8	26
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	10	24
30	10	23
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	15	19
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	9
74	25	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	32	3
91	32	2
92	32	2
93	33	2
94	33	1
95	33	1
96	34	1
97	34	0
98	34	0
99	35	0
